연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장주소,기업형태,담당기관,등록일,연락처
2121,2023.10.25,2023-10-25~2023-11-15,주식회사 지원바이오,기타 기계 조작원,상용직,시급,9620,경력,5년개월,무관,화학공학,    ,강원도 춘천시 서면 보가터1길 30 신매리 441-2 /   금산2길 14-17,중소,강원지사,2023.10.25,1588-1519
2122,2023.10.25,2023-10-25~2023-11-09,한림대학교춘천성심병원,병원행정 사무원(원무),계약직,월급,1010100,무관,0년개월,무관,,    ,강원도 춘천시 삭주로 77 (교동),대기업,강원지사,2023.10.25,1588-1519
2123,2023.10.25,2023-10-25~2023-11-30,(주)일천,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,월급,2010580,무관,0년개월,무관,,    ,전라북도 임실군 오수면 금암1길 36 (주)일천,중소,전북지사,2023.10.25,1588-1519
2124,2023.10.25,2023-10-25~2023-11-10,농업회사법인 주식회사 애농,기타 기계 조작원,시간제,시급,9620,무관,0년개월,무관,,    ,전라북도 진안군 진안읍 하평길 16-26 주식회사 애농,"협회,단체",전북지사,2023.10.25,1588-1519
2125,2023.10.25,2023-10-25~2023-11-10,천금자원,기타 금속공작기계 조작원 및 보조원,시간제,시급,9620,무관,0년개월,무관,,    ,전라북도 군산시 미성로 158 (산북동),개인,전북지사,2023.10.25,1588-1519
2126,2023.10.25,2023-10-25~2023-12-31,주식회사 김장독,생산·품질 사무원 및 관리원(음식료품),시간제,시급,9620,신입,무관,무관,,    ,전라북도 군산시 성산면 송호로 157-5 (주) 김장독,중소,전북지사,2023.10.25,1588-1519
2127,2023.10.25,2023-10-25~2023-11-30,(주)샤프에스이,세탁원,상용직,시급,9620,무관,무관,무관,,    ,인천광역시 서구 건지로97번길 33-37  (석남동),중소,인천지사,2023.11.1,1588-1519
2128,2023.10.25,2023-10-25~2023-12-31,인천장애인사회적협동조합,기타 기계 조작원,시간제,시급,9620,무관,무관,무관,,    ,인천광역시 서구 보듬로 158 (오류동),중소,인천지사,2023.10.25,1588-1519
2129,2023.10.25,2023-10-25~2023-12-22,(주)신진화학,기계·금속 분야 단순 종사원,상용직,시급,9620,무관,무관,무관,,    ,인천광역시 남동구 능허대로625번길 35 신진화학(주),중소,인천지사,2023.10.25,1588-1519
2130,2023.10.25,2023-10-25~2023-10-25,가톨릭대학교 인천성모병원,의료 보조원(간호조무사 제외),계약직,시급,9620,무관,무관,무관,,    ,인천광역시 부평구 동수로 56  (부평동),중소,인천지사,2023.10.25,1588-1519
2131,2023.10.25,2023-10-25~2023-11-30,(주)아이스트로,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,인천광역시 서구 검단로54번길 7 .,중소,인천지사,2023.11.1,1588-1519
2132,2023.10.25,2023-10-25~2023-11-30,한국세라프,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,인천광역시 서구 북항로207번길 45 (원창동),중소,인천지사,2023.11.1,1588-1519
2133,2023.10.25,2023-10-25~2023-12-31,나라솔루션주식회사,건물 경비원,상용직,시급,9620,무관,무관,무관,,    ,대구광역시 수성구 상화로 122-1  (두산동),중소,대구지역본부,2023.10.25,1588-1519
2134,2023.10.25,2023-10-25~2023-11-30,경산자인학교,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",계약직,시급,9620,무관,무관,무관,,    ,"경상북도 경산시 자인면 원효로156길 83 (계남리, 경산자인학교)","공사,공공",대구지역본부,2023.10.26,1588-1519
2135,2023.10.25,2023-10-25~2023-12-31,씨제이푸드빌(주) 빕스 광천점,주방 보조원(일반 음식점),상용직,시급,9620,무관,무관,무관,,    ,광주광역시 서구 무진대로 903 (광천동),대기업,광주지역본부,2023.10.25,1588-1519
2136,2023.10.25,2023-10-25~2023-12-07,주식회사 유신에코,기계·금속 분야 단순 종사원,상용직,시급,9620,무관,0년개월,무관,,    ,인천광역시 서구 도담로 7 (오류동),중소,인천지사,2023.11.1,1588-1519
2137,2023.10.25,2023-10-25~2023-10-31,넥스트 주식회사,기타 전자 부품·제품 조립·검사원,계약직,시급,9620,무관,무관,무관,전산학·컴퓨터공학,    ,"인천광역시 서구 보듬로 158 공존 1010호 (오류동, 블루텍)",중소,인천지사,2023.10.25,1588-1519
2138,2023.10.25,2023-10-25~2023-10-31,(주)유안에이치알,건물 청소원(클린마스터),계약직,월급,1500000,무관,무관,무관,,    ,서울특별시 강남구 봉은사로 215 13층 (논현동),중소,인천지사,2023.10.25,1588-1519
2139,2023.10.25,2023-10-25~2023-11-30,다인씨엔씨,세탁원,상용직,시급,9620,무관,무관,무관,,    ,인천광역시 서구 건지로250번길 53 성진코터스 건물  지하 (가좌동),중소,인천지사,2023.11.1,1588-1519
2140,2023.10.25,2023-10-25~2023-10-26,(주) 하나식품,기타 식품가공 종사원,상용직,시급,9620,무관,무관,무관,,    ,충청남도 금산군 금성면 도곡로 278 (도곡리),중소,대전지역본부,2023.10.25,1588-1519
2141,2023.10.25,2023-10-25~2023-11-05,디엘이앤씨 주식회사,건축안전·환경·품질·에너지관리 기술자,계약직,월급,3500000,무관,무관,무관,,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,울산지사,2023.10.25,1588-1519
2142,2023.10.25,2023-10-25~2023-12-31,주식회사한성교통,경·소형 화물차 운전원,계약직,월급,2100000,무관,무관,무관,,    ,울산광역시 울주군 청량면 웅촌로 1263 율리공영차고지 3층 U-BUS,중소,울산지사,2023.10.25,1588-1519
2143,2023.10.25,2023-10-25~2023-12-30,(주)유벡,기계·금속 분야 단순 종사원,계약직,시급,9620,무관,무관,무관,,    ,울산광역시 남구 용연로 106  (용연동),중소,울산지사,2023.10.25,1588-1519
2144,2023.10.25,2023-10-25~2023-10-31,하나증권,사무 보조원,계약직,시급,9620,신입,무관,무관,,    ,서울특별시 영등포구 의사당대로 82 (여의도동),대기업,서울남부지사,2023.10.25,1588-1519
2145,2023.10.25,2023-10-25~2023-12-24,서울특별시교육청,환경 미화원,계약직,시급,9620,무관,무관,무관,,    ,서울특별시 종로구 송월길 48 (신문로2가),"공사,공공",서울남부지사,2023.10.26,1588-1519
2146,2023.10.25,2023-10-25~2023-12-31,신흥정공(주),"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,울산광역시 울주군 웅촌면 웅촌로 642-1 신흥정공,중소,울산지사,2023.10.25,1588-1519
2147,2023.10.25,2023-10-25~2023-12-31,에스앤씨패션,섬유·의복 분야 단순 종사원,계약직,시급,9620,무관,무관,무관,,    ,"서울특별시 금천구 가산디지털2로 14 (가산동), 6층 606~608호",개인,서울남부지사,2023.10.25,1588-1519
2148,2023.10.25,2023-10-25~2023-10-31,현대하이라이프손해사정,사무 보조원,계약직,월급,1805000,신입,0년개월,무관,,    ,"서울특별시 영등포구 당산로 141 (당산동3가), 현대해상빌딩8층",중소,서울남부지사,2023.10.25,1588-1519
2149,2023.10.25,2023-10-25~2023-11-03,(주)글로벌금융판매,콜센터 상담원(콜센터·고객센터·CS센터),시간제,시급,9620,무관,무관,고졸,,    ,서울특별시 영등포구 경인로 775 55-20 (문래동3가),중소,서울남부지사,2023.10.25,1588-1519
2150,2023.10.25,2023-10-25~2023-11-05,디엘이앤씨 주식회사,산업 안전원 및 위험물 관리원,계약직,월급,3500000,무관,무관,무관,,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,서울지역본부,2023.10.25,1588-1519
2151,2023.10.25,2023-10-25~2023-12-31,주식회사호인,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,0년개월,무관,,    ,경상북도 경산시 경청로222길 24 (백천동),중소,대구지역본부,2023.10.25,1588-1519
2152,2023.10.25,2023-10-25~2023-11-30,(주)현대그린푸드,주방 보조원(일반 음식점),계약직,시급,9620,무관,무관,무관,,    ,경기도 용인시 수지구 문인로 30 현대그린푸드 (동천동),중소,대구지역본부,2023.10.31,1588-1519
2153,2023.10.25,2023-10-25~2023-12-31,영남대학교의료원,직업 운동선수,계약직,월급,1300000,무관,무관,무관,,    ,대구광역시 남구 현충로 170 영남대학교의료원 (대명동),중소,대구지역본부,2023.11.1,1588-1519
2154,2023.10.25,2023-10-25~2023-11-01,구심 사회적협동조합,사무 보조원,계약직,월급,808080,무관,무관,무관,,    ,서울특별시 금천구 가산디지털1로 233 (가산동) 503호,개인,서울남부지사,2023.10.25,1588-1519
2155,2023.10.25,2023-10-25~2023-11-30,엠즈씨드 주식회사,매장 정리원(매장 보조원),시간제,시급,9620,무관,무관,무관,,    ,서울특별시 강남구 도산대로75길 20 엠즈씨드,중소,서울북부지사,2023.10.25,1588-1519
2156,2023.10.25,2023-10-25~2023-10-31,주식회사 우리행성,"팬시, 귀금속, 생활잡화 등 기타 제품 디자이너",시간제,시급,9620,무관,무관,무관,,    ,서울특별시 노원구 노원로32길 42-22 (상계동),"협회,단체",서울북부지사,2023.11.1,1588-1519
2157,2023.10.25,2023-10-25~2023-12-31,미르텍(주),전기 부품·제품 조립·검사원,시간제,시급,9620,무관,무관,무관,,    ,전라남도 목포시 대양산단로199번길 67 (대양동),중소,전남지사,2023.11.1,1588-1519
2158,2023.10.25,2023-10-25~2023-11-05,디엘이앤씨 주식회사,건축안전·환경·품질·에너지관리 기술자,계약직,월급,3500000,경력,0년6개월,무관,,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,전남지사,2023.10.25,1588-1519
2159,2023.10.25,2023-10-25~2023-12-31,주식회사 한국마이크로그린,식품 분야 단순 종사원,상용직,시급,9620,무관,0년개월,무관,,    ,충청남도 부여군 초촌면 선사로 1 .,중소,충남지사,2023.10.25,1588-1519
2160,2023.10.25,2023-10-25~2023-11-02,한국농수산식품유통공사,공공행정 사무원,상용직,연봉,35582000,무관,무관,무관,,    ,전라남도 나주시 문화로 227  (빛가람동),"공사,공공",전남지사,2023.10.25,1588-1519
2161,2023.10.25,2023-10-25~2023-11-30,학교기업 다온(순천선혜학교),건물 청소원(클린마스터),계약직,시급,9620,무관,무관,무관,,    ,전라남도 순천시 비봉길 100 (조례동),"공사,공공",전남지사,2023.10.25,1588-1519
2162,2023.10.25,2023-10-25~2023-12-31,(주)덕산테코피아,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,10146,무관,무관,무관,,    ,충청남도 천안시 동남구 풍세면 풍세산단2로 39 풍세일반산업단지 內,중소,충남지사,2023.10.25,1588-1519
2163,2023.10.25,2023-10-25~2023-12-08,향림카페,음료 조리사,계약직,시급,9620,무관,0년개월,무관,,    ,경상북도 영주시 봉현면 소백로1624번길 76-4 76-4,개인,경북지사,2023.10.25,1588-1519
2164,2023.10.25,2023-10-25~2023-10-25,주식회사 포스코휴먼스,세탁원,계약직,시급,9620,무관,무관,무관,,    ,경상북도 포항시 남구 동해안로6213번길 15-1 포스코휴먼스 (동촌동),중소,경북지사,2023.10.25,1588-1519
2165,2023.10.25,2023-10-25~2023-10-25,주식회사 포스코휴먼스,노무 사무원,계약직,연봉,31000000,무관,무관,무관,,    ,경상북도 포항시 남구 동해안로6213번길 15-1 포스코휴먼스 (동촌동),중소,경북지사,2023.10.25,1588-1519
2166,2023.10.25,2023-10-25~2023-11-05,디엘이앤씨 주식회사,산업 안전원 및 위험물 관리원,계약직,월급,3500000,무관,무관,무관,건축학,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,경북지사,2023.10.27,1588-1519
2167,2023.10.25,2023-10-25~2023-11-24,(주)제일산업,종이제품 생산기계 조작원,상용직,시급,9620,무관,무관,무관,,    ,경상북도 칠곡군 지천면 창평로 67-4 507,중소,경북지사,2023.11.1,1588-1519
2168,2023.10.25,2023-10-25~2023-11-24,경북보건대학교,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),계약직,월급,2190000,무관,무관,무관,,    ,경상북도 김천시 대학로 168  (삼락동),"협회,단체",경북지사,2023.10.31,1588-1519
2169,2023.10.24,2023-10-24~2023-11-30,(주)강동오케익,사무 보조원,상용직,시급,9620,무관,무관,무관,,    ,전라북도 전주시 덕진구 오신2길 24-21 성덕동 175-6번지 (주)강동오케익 (성덕동),중소,전북지사,2023.10.24,1588-1519
2170,2023.10.24,2023-10-24~2023-11-03,(학)일송학원한림대성심병원,기타 보건·의료 서비스 종사원,계약직,월급,1050000,무관,0년개월,무관,,    ,경기도 안양시 동안구 평촌동 896-1,대기업,경기서부지사,2023.10.24,1588-1519
2171,2023.10.24,2023-10-24~2023-11-01,함열덕성원,물리치료사,상용직,시급,9620,무관,무관,무관,,    ,전라북도 익산시 함열읍 익산대로 1666-33 (와리),중소,전북지사,2023.10.24,1588-1519
2172,2023.10.24,2023-10-24~2023-11-30,(주)이화클리닝,세탁원,상용직,시급,9620,무관,0년개월,무관,,    ,경상남도 김해시 진영읍 본산로110번길 14 이화클리닝,중소,경남동부지사,2023.10.24,1588-1519
2173,2023.10.24,2023-10-24~2023-11-08,제주국제자유도시개발센터,공공행정 사무원,상용직,연봉,25500000,무관,무관,무관,,    ,제주특별자치도 제주시 첨단로 213-4 제주첨단과학기술단지 엘리트빌딩 3층(영평동),"공사,공공",제주지사,2023.10.27,1588-1519
2174,2023.10.24,2023-10-24~2023-11-03,(재)광주그린카진흥원,공공행정 사무원,계약직,시급,9620,무관,0년개월,무관,,가스기능사    ,광주광역시 광산구 빛동10로 22 (삼거동 668)글로벌비지니스동,"공사,공공",광주지역본부,2023.10.24,1588-1519
2175,2023.10.24,2023-10-24~2023-10-31,원주고등학교,건물 청소원(클린마스터),계약직,시급,10386,무관,0년개월,무관,,    ,강원특별자치도 원주시 치악로 1765 (개운동),"공사,공공",강원지사,2023.10.24,1588-1519
2176,2023.10.24,2023-10-24~2023-11-05,디엘이앤씨 주식회사,건설현장반장,계약직,월급,3500000,경력,0년6개월,무관,건축학,    ,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),대기업,대전지역본부,2023.10.27,1588-1519
2177,2023.10.24,2023-10-24~2023-12-31,(주)티디에스팜,건물 청소원(클린마스터),계약직,시급,9620,무관,무관,무관,,    ,경기도 성남시 분당구 판교로 253 C동 403호(삼평동),중소,충북지사,2023.10.24,1588-1519
2178,2023.10.24,2023-10-24~2023-11-30,원주시장애인종합복지관,복지시설 보조원,상용직,시급,9620,무관,무관,무관,가족·사회·복지학,    ,강원도 원주시 동부순환로 9-8 원주시장애인종합복지관 (단구동),중소,강원지사,2023.10.31,1588-1519
2179,2023.10.24,2023-10-24~2023-11-03,(재)창원산업진흥원,가스 충전원,계약직,연봉,24126000,경력,1년개월,무관,,    ,경상남도 창원시 의창구 창원대로18번길 46 (팔용동) 6층 18호,중소,경남동부지사,2023.10.30,1588-1519
2180,2023.10.24,2023-10-24~2023-10-31,(주)크린탑,세탁 기계 조작원,상용직,시급,9620,무관,무관,무관,,    ,전라남도 장성군 삼서면 해삼로 1183 노란색 건물,중소,전북지사,2023.10.24,1588-1519
